,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Dry Tortugas,Everglades,Gateway Arch,Glacier,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Hot Springs,Indiana Dunes,Isle Royale,Joshua Tree,Kings Canyon,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,New River Gorge,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Voyageurs,White Sands,Wind Cave,Yellowstone,Yosemite,Zion
Petrified Forest,2278.89,249.21,713.71,554.07,1880.41,266.98,218.26,215.99,229.22,366.99,554.47,1652.98,855.4,1587.4,404.16,1761.06,1843.99,1110.72,971.84,149.43,599.9,367.53,300.42,1478.35,357.0,951.08,1310.36,1412.42,360.43,505.79,742.03,1329.06,162.39,1023.58,1603.17,1107.1,1136.08,0.0,646.32,883.77,433.51,198.73,508.71,1750.55,884.55,1267.59,260.6,676.11,658.6,573.58,238.82
Pinnacles,2794.95,653.48,1104.96,1152.08,2526.73,751.42,501.97,629.2,562.41,999.68,196.66,2277.79,448.47,2142.56,242.58,2405.69,2490.15,1698.78,924.34,504.27,741.53,413.28,867.66,2093.29,982.95,1585.04,1855.98,1835.21,350.8,146.7,277.24,1932.88,703.46,716.32,2194.33,843.49,801.98,646.32,0.0,365.99,885.97,674.92,138.18,2335.01,1162.59,1651.93,890.26,1054.66,791.67,130.62,452.6
Redwood,2787.31,785.81,1107.43,1431.22,2721.22,883.51,681.94,778.2,715.14,1250.62,561.77,2403.67,149.47,2187.55,521.34,2619.46,2690.62,1792.95,711.45,735.14,693.76,537.66,1016.08,2207.48,1240.47,1744.64,1902.87,1790.43,682.04,426.78,141.85,2036.54,877.76,399.17,2275.33,528.99,461.22,883.77,365.99,0.0,965.34,972.72,441.58,2404.78,1090.28,1593.36,1144.1,1058.02,720.44,339.08,647.89
Rocky Mountain,1914.96,243.9,280.2,779.86,1784.99,170.36,405.27,278.15,335.77,571.0,879.94,1438.4,871.12,1257.0,674.12,1705.13,1760.4,830.28,712.45,465.57,353.27,474.78,184.22,1242.36,586.03,798.55,970.19,995.11,729.02,743.8,838.63,1072.49,272.02,922.62,1319.9,957.79,1028.72,433.51,885.97,965.34,0.0,625.13,760.88,1456.0,465.91,839.05,526.45,244.03,383.5,767.88,455.94
Saguaro,2414.29,446.37,904.32,478.15,1890.98,463.02,378.92,411.44,411.92,355.0,531.05,1722.79,972.08,1712.05,454.24,1755.95,1849.84,1224.08,1156.41,278.9,791.95,510.79,471.89,1561.77,331.01,1019.57,1444.18,1584.75,330.93,555.78,835.23,1425.45,358.55,1170.08,1705.46,1264.45,1280.81,198.73,674.92,972.72,625.13,0.0,549.0,1855.73,1081.83,1449.26,255.41,869.06,851.85,638.47,377.07
Sequoia,2674.61,523.43,992.49,1023.09,2389.02,619.59,367.92,496.95,431.14,864.82,172.0,2141.1,484.6,2014.88,104.59,2269.0,2352.7,1565.79,886.1,366.09,653.64,297.47,732.54,1957.62,849.0,1447.26,1728.9,1726.52,240.64,26.52,319.29,1798.37,567.12,736.31,2061.73,856.51,833.58,508.71,138.18,441.58,760.88,549.0,0.0,2203.5,1068.68,1548.02,755.39,942.84,708.67,106.63,317.61
Shenandoah,661.42,1681.54,1305.05,1561.02,893.21,1584.0,1835.81,1706.59,1772.86,1531.47,2295.03,354.53,2290.31,252.72,2107.45,993.73,922.62,640.66,1900.85,1858.97,1719.11,1929.21,1475.33,347.01,1561.55,862.63,508.68,835.6,2109.94,2189.56,2287.29,433.76,1643.43,2252.46,151.73,2227.73,2333.13,1750.55,2335.01,2404.78,1456.0,1855.73,2203.5,0.0,1395.43,1000.16,1608.02,1352.29,1706.15,2221.86,1886.62
Theodore Roosevelt,1701.63,650.78,227.12,1222.24,1949.79,618.91,787.07,689.12,721.33,1022.39,1223.05,1493.78,953.19,1154.45,1011.08,1913.06,1938.47,884.26,505.87,876.26,421.82,777.48,646.36,1290.18,1040.99,1016.37,889.71,700.34,1118.84,1045.04,1005.53,1114.92,723.29,864.36,1290.4,832.35,939.08,884.55,1162.59,1090.28,465.91,1081.83,1068.68,1395.43,0.0,503.41,989.46,234.8,377.75,1032.05,828.5
Voyageurs,1206.93,1073.43,565.95,1437.67,1721.73,1009.38,1228.7,1110.63,1158.79,1278.11,1691.54,1192.65,1454.87,747.46,1478.96,1734.06,1725.17,694.52,964.09,1301.61,918.96,1251.07,977.53,1005.18,1304.4,965.52,551.74,201.49,1561.33,1525.99,1508.18,853.08,1109.15,1343.85,931.87,1290.47,1404.39,1267.59,1651.93,1593.36,839.05,1449.26,1548.02,1000.16,503.41,0.0,1285.99,612.26,879.48,1522.34,1276.1
White Sands,2181.65,449.34,782.29,298.56,1646.03,408.57,473.88,429.51,467.9,109.44,770.1,1467.61,1114.58,1474.63,652.34,1517.74,1606.75,983.14,1177.69,409.02,795.78,624.64,343.28,1308.47,96.4,765.05,1215.01,1400.35,567.25,755.86,1002.44,1175.89,330.61,1271.6,1457.06,1347.04,1384.38,260.6,890.26,1144.1,526.45,255.41,755.39,1608.02,989.46,1285.99,0.0,758.37,847.92,828.8,498.99
Wind Cave,1746.12,463.26,50.67,987.48,1805.79,409.84,616.58,501.08,546.81,787.98,1080.95,1394.33,938.55,1129.89,868.97,1750.88,1788.78,771.73,619.72,692.56,367.0,645.5,416.81,1191.19,807.04,838.53,846.51,784.05,949.82,922.11,949.75,1014.91,513.85,917.81,1229.58,918.92,1010.84,676.11,1054.66,1058.02,244.03,869.06,942.84,1352.29,234.8,612.26,758.37,0.0,356.4,927.78,663.84
Yellowstone,2066.95,411.38,401.67,1130.87,2140.97,440.3,492.95,442.66,443.03,917.63,871.85,1748.37,591.01,1478.92,665.69,2072.93,2120.3,1125.9,334.32,595.53,61.89,434.57,540.54,1545.83,926.02,1159.05,1198.59,1073.34,799.59,683.65,628.76,1369.91,522.67,565.36,1585.43,581.69,663.59,658.6,791.67,720.44,383.5,851.85,708.67,1706.15,377.75,879.48,847.92,356.4,0.0,661.18,521.03
Yosemite,2670.84,542.96,978.24,1106.15,2446.83,642.75,401.42,522.58,455.09,937.63,263.41,2176.86,378.27,2024.68,184.3,2332.63,2412.31,1588.79,805.9,425.12,610.92,293.12,765.12,1989.04,924.13,1491.18,1737.72,1706.62,344.11,88.22,212.88,1825.74,606.21,633.07,2083.06,755.22,728.52,573.58,130.62,339.08,767.88,638.47,106.63,2221.86,1032.05,1522.34,828.8,927.78,661.18,0.0,355.9
Zion,2369.52,212.44,710.79,792.57,2092.17,303.99,51.34,181.77,120.21,603.8,424.01,1825.56,616.79,1701.27,221.53,1981.03,2058.38,1248.35,795.29,99.32,459.17,134.39,415.15,1640.7,595.28,1135.99,1416.25,1443.7,290.38,305.91,506.06,1480.83,251.53,795.49,1744.37,887.48,907.09,238.82,452.6,647.89,455.94,377.07,317.61,1886.62,828.5,1276.1,498.99,663.84,521.03,355.9,0.0
